nomo,poentaro,krompoentoj,esperantisto konenda,mondgrava homo,konata artisto
,,+5,80,70,60
eŭgeno aisberg,,FALSE,TRUE,FALSE,FALSE
andre albault,,FALSE,TRUE,FALSE,FALSE
nikola aleksiev,,FALSE,TRUE,FALSE,FALSE
ernest archdeacon,,FALSE,TRUE,FALSE,FALSE
william auld,,TRUE,TRUE,FALSE,FALSE
julio baghy,,TRUE,TRUE,FALSE,FALSE
bakin,,FALSE,TRUE,FALSE,FALSE
hans bakker,,FALSE,TRUE,FALSE,FALSE
peter balaz,,FALSE,TRUE,FALSE,FALSE
lucien bannier,,FALSE,TRUE,FALSE,FALSE
kreŝimir barkoviĉ,,FALSE,TRUE,FALSE,FALSE
anna bartek,,FALSE,TRUE,FALSE,FALSE
norbert barthelmess,,FALSE,TRUE,FALSE,FALSE
louis bastien,,FALSE,TRUE,FALSE,FALSE
gersi alfredo baŭs,,FALSE,TRUE,FALSE,FALSE
louis de beaufront,,TRUE,TRUE,FALSE,FALSE
belka beleva,,FALSE,TRUE,FALSE,FALSE
vilmos benczik,,FALSE,TRUE,FALSE,FALSE
paul berthelot,,FALSE,TRUE,FALSE,FALSE
gerrit berveling,,FALSE,TRUE,FALSE,FALSE
detlev blanke,,FALSE,TRUE,FALSE,FALSE
ignat bociort,,FALSE,TRUE,FALSE,FALSE
emile boirac,,FALSE,TRUE,FALSE,FALSE
jevgenij bokarev,,FALSE,TRUE,FALSE,FALSE
jean borel,,FALSE,TRUE,FALSE,FALSE
erner bormann,,FALSE,TRUE,FALSE,FALSE
marjorie boulton,,TRUE,TRUE,FALSE,FALSE
carlo bourlet,,FALSE,TRUE,FALSE,FALSE
dalibor brozovic,,FALSE,TRUE,FALSE,FALSE
odo bujĝid,,FALSE,TRUE,FALSE,FALSE
osmo buller,,FALSE,TRUE,FALSE,FALSE
adolf burkhardt,,FALSE,TRUE,FALSE,FALSE
montagu christie bulter,,FALSE,TRUE,FALSE,FALSE
jorge camacho,,TRUE,TRUE,FALSE,FALSE
giorgio canuto,,FALSE,TRUE,FALSE,FALSE
theophile cart,,FALSE,TRUE,FALSE,FALSE
gabriel chavet,,FALSE,TRUE,FALSE,FALSE
chen yuan,,FALSE,TRUE,FALSE,FALSE
clelia conterno-guglielminetti,,FALSE,TRUE,FALSE,FALSE
renato corsetti,,TRUE,TRUE,FALSE,FALSE
andreo cseh,,TRUE,TRUE,FALSE,FALSE
theodor cejka,,FALSE,TRUE,FALSE,FALSE
petras celiauskas,,FALSE,TRUE,FALSE,FALSE
aleksandras dambrauskas,,FALSE,TRUE,FALSE,FALSE
dao anh kha,,FALSE,TRUE,FALSE,FALSE
probal dasgupta,,FALSE,TRUE,FALSE,FALSE
fernando de diego,,TRUE,TRUE,FALSE,FALSE
johannes dietterle,,FALSE,TRUE,FALSE,FALSE
roman dobrzynski,,FALSE,TRUE,FALSE,FALSE
isaj dratĝer,,FALSE,TRUE,FALSE,FALSE
hilda dresen,,FALSE,TRUE,FALSE,FALSE
ernest drezen,,TRUE,TRUE,FALSE,FALSE
michel duc goninaz,,FALSE,TRUE,FALSE,FALSE
leopold einstein,,TRUE,TRUE,FALSE,FALSE
kep enderby,,FALSE,TRUE,FALSE,FALSE
stellan engholm,,FALSE,TRUE,FALSE,FALSE
vasilij eroŝenko,,FALSE,TRUE,FALSE,FALSE
istvan ertl,,TRUE,TRUE,FALSE,FALSE
karoly fajszi,,FALSE,TRUE,FALSE,FALSE
mark fettes,,TRUE,TRUE,FALSE,FALSE
gian carlo fighiera,,FALSE,TRUE,FALSE,FALSE
ada fighierasikorska,,FALSE,TRUE,FALSE,FALSE
srdjan flego,,FALSE,TRUE,FALSE,FALSE
joan font i giralt,,FALSE,TRUE,FALSE,FALSE
jean forge,,FALSE,TRUE,FALSE,FALSE
jerzy fornal,,FALSE,TRUE,FALSE,FALSE
helmar frank,,FALSE,TRUE,FALSE,FALSE
lina babrielli,,FALSE,TRUE,FALSE,FALSE
claude gacond,,FALSE,TRUE,FALSE,FALSE
koffi gbeglo,,FALSE,TRUE,FALSE,FALSE
jadwiga gibczynska,,FALSE,TRUE,FALSE,FALSE
bernard golden,,FALSE,TRUE,FALSE,FALSE
cecil goldsmith,,FALSE,TRUE,FALSE,FALSE
ismael gomes braga,,FALSE,TRUE,FALSE,FALSE
albert goodheir,,FALSE,TRUE,FALSE,FALSE
antoni grabowski,,TRUE,TRUE,FALSE,FALSE
rudi graetz,,FALSE,TRUE,FALSE,FALSE
ursula grattapaglia,,FALSE,TRUE,FALSE,FALSE
mireille grosjean,,FALSE,TRUE,FALSE,FALSE
emile grosjean maupin,,TRUE,TRUE,FALSE,FALSE
andrzej grzebowski,,FALSE,TRUE,FALSE,FALSE
marinko ĝivoje,,FALSE,TRUE,FALSE,FALSE
rudolf haferkorn,,FALSE,TRUE,FALSE,FALSE
hajpin li,,FALSE,TRUE,FALSE,FALSE
marie hankel,,FALSE,TRUE,FALSE,FALSE
ralph harry,,FALSE,TRUE,FALSE,FALSE
reinhard haupenthal,,FALSE,TRUE,FALSE,FALSE
hektor hodler,,TRUE,TRUE,FALSE,FALSE
harry holmes,,FALSE,TRUE,FALSE,FALSE
hu yuzhi,,FALSE,TRUE,FALSE,FALSE
nikolaj ĥoĥlov,,FALSE,TRUE,FALSE,FALSE
vicente inglada ors,,FALSE,TRUE,FALSE,FALSE
